purchase_id,product_id,checkout_id,quantity
1,1,1,3
2,15,1,1
3,28,1,1
4,147,1,1
5,144,1,1
6,61,2,1
7,84,2,1
8,75,2,1
9,103,2,1
10,117,2,1
11,18,3,1
12,48,3,2
13,44,3,2
14,61,4,1
15,88,4,1
16,113,4,1
17,112,4,1
18,109,5,1
19,102,5,1
20,118,5,1
21,86,5,1
22,68,5,1
23,70,5,1
24,64,6,1
25,75,6,1
26,86,6,1
27,61,6,1
28,69,6,3
29,71,6,1
30,53,7,1
31,35,7,1
32,56,7,3
33,60,7,1
34,33,7,1
35,126,7,1
36,148,7,1
37,130,7,1
38,125,7,1
39,49,8,2
40,56,8,1
41,42,8,1
42,143,8,1
43,126,8,1
44,40,9,1
45,33,9,1
46,58,9,1
47,44,9,1
48,118,9,2
49,110,9,1
50,102,9,2
51,8,10,1
52,23,10,1
53,18,10,1
54,44,10,1
55,32,10,1
56,54,10,1
57,146,10,1
58,126,10,2
59,147,11,2
60,150,11,2
61,141,11,2
62,114,11,1
63,93,11,1
64,92,11,1
65,48,11,3
66,31,11,1
67,37,11,1
68,70,12,2
69,72,12,1
70,90,12,1
71,106,13,1
72,95,13,1
73,149,14,1
74,128,14,1
75,107,14,1
76,120,14,1
77,61,14,1
78,82,14,1
79,44,14,1
80,35,14,3
81,13,15,1
82,127,15,1
83,100,16,1
84,104,16,1
85,102,16,2
86,107,16,1
87,142,17,1
88,123,17,1
89,127,17,1
90,21,17,1
91,3,17,1
92,2,17,1
93,89,17,1
94,90,17,1
95,75,17,1
96,32,17,1
97,58,17,1
98,50,17,1
99,85,18,1
100,73,18,1
101,76,18,1
102,75,18,1
103,71,18,2
104,62,18,1
105,30,19,1
106,25,19,1
107,139,19,1
108,141,19,1
109,56,20,2
110,103,20,1
111,101,20,1
112,59,21,2
113,100,21,1
114,17,22,2
115,12,22,1
116,23,22,1
117,20,22,1
118,51,22,1
119,53,22,2
120,50,22,1
121,42,22,1
122,43,22,1
123,131,22,1
124,146,22,1
125,143,22,1
126,125,22,1
127,137,22,1
128,20,23,2
129,25,23,3
130,30,23,2
131,31,23,2
132,59,23,1
133,33,23,1
134,126,23,1
135,144,23,1
136,26,24,1
137,30,24,1
138,17,24,1
139,92,24,1
140,115,24,2
141,109,24,1
142,118,24,1
143,135,25,1
144,129,25,2
145,117,25,1
146,100,25,1
147,81,25,1
148,83,25,3
149,9,25,2
150,7,25,1
151,67,26,1
152,78,26,1
153,83,26,1
154,74,26,1
155,59,26,2
156,42,26,1
157,45,26,1
158,100,26,1
159,113,26,1
160,115,26,1
161,65,27,1
162,82,27,1
163,72,27,2
164,102,27,2
165,109,27,1
166,149,27,1
167,132,27,1
168,30,27,1
169,9,27,1
170,22,28,1
171,44,28,1
172,45,28,1
173,145,28,1
174,30,29,1
175,7,29,1
176,5,29,1
177,23,29,1
178,10,29,1
179,38,29,1
180,51,29,2
181,43,29,2
182,35,29,1
183,110,30,1
184,103,30,1
185,141,30,1
186,128,30,1
187,90,30,1
188,70,30,1
189,8,30,1
190,23,30,1
191,75,31,1
192,69,31,1
193,76,31,1
194,64,31,1
195,93,31,1
196,113,31,1
197,96,31,3
198,99,31,2
199,120,32,1
200,103,32,1
201,130,33,2
202,139,33,3
203,72,33,2
204,69,33,3
205,65,33,1
206,1,33,1
207,10,33,2
208,101,34,1
209,120,34,3
210,109,34,1
